hero_code,hero_name,hero_url,table_pick_rate,table_win_rate,table_ban_rate,list_top_sets,list_hard_heroes,list_with_heroes,detail_rank_text,detail_win_rate_text,detail_hard_heroes,detail_with_heroes,detail_pick_order_pick_rate_chart,detail_pick_order_ban_rate_chart,detail_win_rate_chart,pickrate_1,pickrate_2,pickrate_3,pickrate_4,pickrate_5,banrate_1,banrate_2,banrate_3,banrate_4,banrate_5
c2001,기원의 라스,https://epic7.onstove.com/ko/gg/herorecord/c2001,30.73,61.67,9.86,set_cri_dmg | set_max_hp,c2124 | c2131 | c2076,c2131 | c5072 | c2124,61 위 / 259,61.67%,c2124 | c2131 | c2076,c2131 | c5072 | c2124,,,,,,,,,,,,,
c2124,조장 아룬카,https://epic7.onstove.com/ko/gg/herorecord/c2124,30.05,58.19,14.27,set_counter | set_immune,c2131 | c2001 | c2076,c2001 | c2113 | c1022,113 위 / 259,58.19%,c2131 | c2001 | c2076,c2001 | c2113 | c1022,,,,,,,,,,,,,
c2131,보건교사 율하,https://epic7.onstove.com/ko/gg/herorecord/c2131,29.2,62.4,16.2,set_immune | set_speed,c2124 | c2001 | c1172,c1117 | c2001 | c2113,55 위 / 259,62.4%,c2124 | c2001 | c1172,c1117 | c2001 | c2113,,,,,,,,,,,,,
c1022,빛의 루엘,https://epic7.onstove.com/ko/gg/herorecord/c1022,24.04,62.67,18.66,set_max_hp | set_speed,c2001 | c2124 | c2131,c2131 | c2124 | c1172,51 위 / 259,62.67%,c2001 | c2124 | c2131,c2131 | c2124 | c1172,,,,,,,,,,,,,
c1172,프리렌,https://epic7.onstove.com/ko/gg/herorecord/c1172,22.69,62.8,16.21,set_speed | set_torrent,c2124 | c2001 | c1168,c1022 | c2024 | c2124,46 위 / 259,62.8%,c2124 | c2001 | c1168,c1022 | c2024 | c2124,,,,,,,,,,,,,
c2076,어둠의 목자 디에네,https://epic7.onstove.com/ko/gg/herorecord/c2076,22.16,63.12,16.85,set_max_hp | set_speed,c2001 | c2124 | c1168,c2001 | c1022 | c2124,44 위 / 259,63.12%,c2001 | c2124 | c1168,c2001 | c1022 | c2124,,,,,,,,,,,,,
c1168,리나크,https://epic7.onstove.com/ko/gg/herorecord/c1168,21.13,59.07,15.24,set_chase | set_speed,c2001 | c2124 | c2131,c2131 | c2124 | c2001,101 위 / 259,59.07%,c2001 | c2124 | c2131,c2131 | c2124 | c2001,,,,,,,,,,,,,
c2113,창공의 일리나브,https://epic7.onstove.com/ko/gg/herorecord/c2113,19.44,59.03,11.81,set_immune | set_shield,c2124 | c2001 | c2131,c2131 | c2124 | c2001,102 위 / 259,59.03%,c2124 | c2001 | c2131,c2131 | c2124 | c2001,,,,,,,,,,,,,
c1117,벨리안,https://epic7.onstove.com/ko/gg/herorecord/c1117,18.52,60.59,11.69,set_counter | set_immune,c2001 | c2124 | c1168,c2131 | c2124 | c2001,78 위 / 259,60.59%,c2001 | c2124 | c1168,c2131 | c2124 | c2001,,,,,,,,,,,,,
c5072,쾌속의 기수 세크레트,https://epic7.onstove.com/ko/gg/herorecord/c5072,17.65,60.91,14.82,set_acc | set_speed,c2124 | c2131 | c2001,c2001 | c2131 | c1133,70 위 / 259,60.91%,c2124 | c2131 | c2001,c2001 | c2131 | c1133,,,,,,,,,,,,,
c6005,천칭의 주인,https://epic7.onstove.com/ko/gg/herorecord/c6005,15.62,67.26,21.03,set_chase | set_speed,c2124 | c2076 | c2131,c1172 | c2024 | c1168,32 위 / 259,67.26%,c2124 | c2076 | c2131,c1172 | c2024 | c1168,,,,,,,,,,,,,
c6024,보검의 군주 이세리아,https://epic7.onstove.com/ko/gg/herorecord/c6024,15.51,59.09,17.35,set_chase | set_counter,c1104 | c2124 | c2131,c1022 | c2131 | c2001,98 위 / 259,59.09%,c1104 | c2124 | c2131,c1022 | c2131 | c2001,,,,,,,,,,,,,
c2112,바다의 유령 폴리티스,https://epic7.onstove.com/ko/gg/herorecord/c2112,11.54,61.95,9.59,set_acc | set_speed,c2124 | c1168 | c2131,c2001 | c2076 | c2131,57 위 / 259,61.95%,c2124 | c1168 | c2131,c2001 | c2076 | c2131,,,,,,,,,,,,,
c1133,지오,https://epic7.onstove.com/ko/gg/herorecord/c1133,11.49,54.18,13.9,set_acc | set_speed,c2131 | c1022 | c2076,c5072 | c2001 | c2103,142 위 / 259,54.18%,c2131 | c1022 | c2076,c5072 | c2001 | c2103,,,,,,,,,,,,,
